1-D Interpolation (INTERP1) QC,Combine QC Flags (CMBNFLG) QC,Conductivity Compressibility Compensation (CONDCMP) QC,DOORS L2 Science Requirement #(s),DOORS L2 Science Requirement Text,DPS DCN(s),Data_Product_Level,Data_Product_Name,Evaluate Polynomial (POLYVAL) QC,Global Range Test (GLBLRNG) QC,Gradient Test (GRADTST) QC,Local Range Test (LOCLRNG) QC,Modulus (MODULUS) QC,Notes,Processing Flow Diagram DCN(s),Solar Elevation (SOLAREL) QC,Spike Test (SPKETST) QC,Stuck Value Test (STUCKVL) QC,Trend Test (TRNDTST) QC,Units,code,diagrams,dps,id,instrument_class_list,level,name,regime,units
not applicable,not applicable,not applicable,L2-SR-RQ-3025,Relative humidity ,"DCN 1341-00280 (FDCHP), DCN 1341-00360 (METBK)",0,Relative Humidity,not applicable,not applicable,not applicable,not applicable,not applicable,,"DCN 1342-00280 (FDCHP), DCN 1342-00360 (METBK)",not applicable,not applicable,not applicable,not applicable,"TBD (FDCHP), % (METBK)",RELHUMI,"DCN 1342-00280 (FDCHP), DCN 1342-00360 (METBK)","DCN 1341-00280 (FDCHP), DCN 1341-00360 (METBK)",RELHUMI_L0,"[""FDCHP"", ""METBK""]",L0,Relative Humidity,"Air-Sea Interface, Surface Water","TBD (FDCHP), % (METBK)"
not applicable,not applicable,not applicable,L2-SR-RQ-3090,Vent Fluid chloride concentrations,[DCN 1341-00160|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/6879d629-e938-4546-8ed6-edd67583aa5f/1341-00160_Data_Product_Spec_TRHPHCC_OOI.pdf],0,Resistivity R1,not applicable,not applicable,not applicable,not applicable,not applicable,,[DCN 1342-00150|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/54181509-329e-4ded-8081-7524d30aff49/1342-00150_Data_Processing_Flow_TRHPH_OOI.pdf],not applicable,not applicable,not applicable,not applicable,"Ohm, raw voltage",TRHPHR1,DCN 1342-00150,DCN 1341-00160,TRHPHR1_L0,"[""TRHPH""]",L0,Resistivity R1,Seafloor/Crust,"Ohm, raw voltage"
not applicable,not applicable,not applicable,L2-SR-RQ-3090,Vent Fluid chloride concentrations,[DCN 1341-00160|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/6879d629-e938-4546-8ed6-edd67583aa5f/1341-00160_Data_Product_Spec_TRHPHCC_OOI.pdf],0,Resistivity R2,not applicable,not applicable,not applicable,not applicable,not applicable,,[DCN 1342-00150|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/54181509-329e-4ded-8081-7524d30aff49/1342-00150_Data_Processing_Flow_TRHPH_OOI.pdf],not applicable,not applicable,not applicable,not applicable,"Ohm, raw voltage",TRHPHR2,DCN 1342-00150,DCN 1341-00160,TRHPHR2_L0,"[""TRHPH""]",L0,Resistivity R2,Seafloor/Crust,"Ohm, raw voltage"
not applicable,not applicable,not applicable,L2-SR-RQ-3090,Vent Fluid chloride concentrations,[DCN 1341-00160|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/6879d629-e938-4546-8ed6-edd67583aa5f/1341-00160_Data_Product_Spec_TRHPHCC_OOI.pdf],0,Resistivity R3,not applicable,not applicable,not applicable,not applicable,not applicable,,[DCN 1342-00150|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/54181509-329e-4ded-8081-7524d30aff49/1342-00150_Data_Processing_Flow_TRHPH_OOI.pdf],not applicable,not applicable,not applicable,not applicable,"Ohm, raw voltage",TRHPHR3,DCN 1342-00150,DCN 1341-00160,TRHPHR3_L0,"[""TRHPH""]",L0,Resistivity R3,Seafloor/Crust,"Ohm, raw voltage"
not applicable,not applicable,not applicable,L2-SR-RQ-3593,Round Trip Acoustic Travel Time (RATT),DCN 1341-00560,0,Roundtrip Acoustic Travel Time (RATT),not applicable,not applicable,not applicable,not applicable,not applicable,,DCN 1342-00560,not applicable,not applicable,not applicable,not applicable,TBD,IESRATT,DCN 1342-00560,DCN 1341-00560,IESRATT_L1,"[""HPIES""]",L1,Roundtrip Acoustic Travel Time (RATT),Water Column,milliseconds
not applicable,not applicable,not applicable,L2-SR-RQ-3593,Round Trip Acoustic Travel Time (RATT),DCN 1341-00560,0,Roundtrip Acoustic Travel Time (RATT),not applicable,not applicable,not applicable,not applicable,not applicable,,DCN 1342-00560,not applicable,not applicable,not applicable,not applicable,TBD,IESRATT,DCN 1342-00560,DCN 1341-00560,IESRATT_L0,"[""HPIES""]",L0,Roundtrip Acoustic Travel Time (RATT),Water Column,TBD
not applicable,not applicable,not applicable,"L2-SR-RQ-3413, L2-SR-RQ-3711",The OOI shall provide fixed measurements of Sea Surface Conductivity.,DCN 1341-00360,0,Sea Surface Conductivity,not applicable,not applicable,not applicable,not applicable,not applicable,,DCN 1342-00360,not applicable,not applicable,not applicable,not applicable,S/m,CONDSRF,DCN 1342-00360,DCN 1341-00360,CONDSRF_L0,"[""METBK""]",L0,Sea Surface Conductivity,"Air-Sea Interface, Surface Water",S/m
not applicable,not applicable,not applicable,"L2-SR-RQ-3413, L2-SR-RQ-3711",The OOI shall provide fixed measurements of Sea Surface Conductivity.,DCN 1341-00360,0,Sea Surface Conductivity,not applicable,not applicable,not applicable,not applicable,not applicable,,DCN 1342-00360,not applicable,not applicable,not applicable,not applicable,S/m,CONDSRF,DCN 1342-00360,DCN 1341-00360,CONDSRF_L1,"[""METBK""]",L1,Sea Surface Conductivity,"Air-Sea Interface, Surface Water",S/m
,,,,,,2,Sea Surface Salinity ,,,,,,,,,,,,unitless,SALSURF,,,SALSURF_L2,"[""METBK""]",L2,Sea Surface Salinity,,unitless
not applicable,not applicable,not applicable,"L2-SR-RQ-3416, L2-SR-RQ-3708",The OOI shall provide fixed measurements of Sea Surface Temperature.,DCN 1341-00360,0,Sea Surface Temperature,not applicable,not applicable,not applicable,not applicable,not applicable,,DCN 1342-00360,not applicable,not applicable,not applicable,not applicable,degree C,TEMPSRF,DCN 1342-00360,DCN 1341-00360,TEMPSRF_L0,"[""METBK""]",L0,Sea Surface Temperature,"Air-Sea Interface, Surface Water",degree C
not applicable,not applicable,not applicable,"L2-SR-RQ-3416, L2-SR-RQ-3708",The OOI shall provide fixed measurements of Sea Surface Temperature.,DCN 1341-00360,0,Sea Surface Temperature,not applicable,not applicable,not applicable,not applicable,not applicable,,DCN 1342-00360,not applicable,not applicable,not applicable,not applicable,degree C,TEMPSRF,DCN 1342-00360,DCN 1341-00360,TEMPSRF_L1,"[""METBK""]",L1,Sea Surface Temperature,"Air-Sea Interface, Surface Water",degree C
not applicable,not applicable,not applicable,L2-SR-RQ-3084,Coupled near bottom pressure and tilt (Seafloor uplift/deflation),DCN 1341-00060,0,Seafloor High-Resolution Tilt,not applicable,not applicable,not applicable,not applicable,not applicable,,DCN 1342-00060,not applicable,not applicable,not applicable,not applicable,microradians,BOTTILT,DCN 1342-00060,DCN 1341-00060,BOTTILT_L1,"[""BOTPT""]",L1,Seafloor High-Resolution Tilt,Seafloor/Crust,microradians
not applicable,not applicable,not applicable,L2-SR-RQ-3084,Coupled near bottom pressure and tilt (Seafloor uplift/deflation),DCN 1341-00060,0,Seafloor High-Resolution Tilt,not applicable,not applicable,not applicable,not applicable,not applicable,,DCN 1342-00060,not applicable,not applicable,not applicable,not applicable,microradians,BOTTILT,DCN 1342-00060,DCN 1341-00060,BOTTILT_L0,"[""BOTPT""]",L0,Seafloor High-Resolution Tilt,Seafloor/Crust,microradians
TBD,TBD,TBD,L2-SR-RQ-3083,Bottom Pressure,"DCN 1341-00230 (PRESF), DCN 1341-00231 (PREST)",1,Seafloor Pressure,TBD,TBD,TBD,TBD,TBD,,"DCN 1342-00230 (PRESF), DCN 1342-00231 (PREST)",TBD,TBD,TBD,TBD,Pa,SFLPRES,"DCN 1342-00230 (PRESF), DCN 1342-00231 (PREST)","DCN 1341-00230 (PRESF), DCN 1341-00231 (PREST)",SFLPRES_L1,"[""PRESF"", ""PREST""]",L1,Seafloor Pressure,Seafloor/Crust,Pa
TBD,TBD,TBD,L2-SR-RQ-3084,Coupled near bottom pressure and tilt (Seafloor uplift/deflation),DCN 1341-00080,2,Seafloor Uplift and Deflation,TBD,TBD,TBD,TBD,TBD,,DCN 1342-00060,TBD,TBD,TBD,TBD,meters,BOTSFLU,DCN 1342-00060,DCN 1341-00080,BOTSFLU_L2,"[""BOTPT""]",L2,Seafloor Uplift and Deflation,Seafloor/Crust,meters
,,,,,,,,,,,,,,,,,,,,SENSFLX,,,SENSFLX_L2,"[""METBK""]",L2,Sensible Heat Flux,,W/m2
TBD,TBD,TBD,L2-SR-RQ-3100,Short period ground motion,DCN 1341-00110,1,Short Period Ground Velocity,TBD,TBD,TBD,TBD,TBD,,DCN 1342-00110,TBD,TBD,TBD,TBD,m/s,SGRDVEL,DCN 1342-00110,DCN 1341-00110,SGRDVEL_L1,"[""OBSSP""]",L1,Short Period Ground Velocity,Seafloor/Crust,m/s
not applicable,not applicable,not applicable,"L2-SR-RQ-3926, L2-SR-RQ-3928","Optical Absorption, Optical Attenuation","[DCN 1341-00690|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/28089882-716e-4fa8-b4b6-c703f5630882/1341-00690_Data_Product_SPEC_OPTATTN_OOI.pdf], [DCN 1341-00700|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/464dee40-a810-4fbc-bcd1-4874e787bbca/1341-00700_Data_Product_SPEC_OPTABSN_OOI.pdf]",0,Signal Beam Attenuation,not applicable,not applicable,not applicable,not applicable,not applicable,,[DCN 1342-00690|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/131c6f4a-e3fb-4f70-99b2-4a13c69b66eb/1342-00690_Data_Processing_Flow_OPTAA_OOI.pdf],not applicable,not applicable,not applicable,not applicable,unitless,OPTCSIG,DCN 1342-00690,"DCN 1341-00690, DCN 1341-00700",OPTCSIG_L0,"[""OPTAA""]",L0,Signal Beam Attenuation,Water Column,unitless
TBD,TBD,TBD,L2-SR-RQ-3179 ,Specific Humidity,DCN 1341-00370,2,Specific Humidity,TBD,TBD,TBD,TBD,TBD,,DCN 1342-00360,TBD,TBD,TBD,TBD,%,SPECHUM,DCN 1342-00360,DCN 1341-00370,SPECHUM_L2,"[""METBK""]",L2,Specific Humidity,"Air-Sea Interface, Surface Water",%
,,,,,,2,Specific Humidity at 2 m,,,,,,,,,,,,%,SPHUM2M,,,SPHUM2M_L2,"[""METBK""]",L2,Specific Humidity at 2 m,,%
not applicable,not applicable,not applicable,L2-SR-RQ-3805,"Imagery, Still",DCN 1341-00830,1,Still Image ,not applicable,not applicable,not applicable,not applicable,not applicable,,n/a,not applicable,not applicable,not applicable,not applicable,Lossless compression Image File,CAMSTIL,n/a,DCN 1341-00830,CAMSTIL_L1,"[""CAMDS""]",L1,Still Image,"Benthic Boundary Layer, Seafloor/Crust",Lossless compression Image File
not applicable,not applicable,not applicable,L2-SR-RQ-3094,In Situ Mass-Resolved Dissolved Gas Chemistry,DCN 1341-00240,0,Suite of Dissolved Gas Measurements (10-20 individual gases) vs. Time ,not applicable,not applicable,not applicable,not applicable,not applicable,,DCN 1342-00240,not applicable,not applicable,not applicable,not applicable,TBD,MASSPEC,DCN 1342-00240,DCN 1341-00240,MASSPEC_L1,"[""MASSP""]",L1,Suite of Dissolved Gas Measurements (10-20 individual gases) vs. Time,Seafloor/Crust,uM and daltons
not applicable,not applicable,not applicable,L2-SR-RQ-3094,In Situ Mass-Resolved Dissolved Gas Chemistry,DCN 1341-00240,0,Suite of Dissolved Gas Measurements (10-20 individual gases) vs. Time ,not applicable,not applicable,not applicable,not applicable,not applicable,,DCN 1342-00240,not applicable,not applicable,not applicable,not applicable,TBD,MASSPEC,DCN 1342-00240,DCN 1341-00240,MASSPEC_L0,"[""MASSP""]",L0,Suite of Dissolved Gas Measurements (10-20 individual gases) vs. Time,Seafloor/Crust,TBD
not applicable,not applicable,not applicable,L2-SR-RQ-3044,Water Temperature,[DCN 1341-00010|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/009f4f2f-55ea-46af-b980-e8f612a5831d/1341-00010_Data_Product_SPEC_TEMPWAT_OOI.pdf],0,Temperature,not applicable,not applicable,not applicable,not applicable,not applicable,,[DCN 1342-00010|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/a2d4b90f-145f-44f6-bf03-6e720d87893c/1342-00010_Data_Processing_Flow_CTD_OOI.pdf],not applicable,not applicable,not applicable,not applicable,unitless,TEMPWAT,DCN 1342-00010,DCN 1341-00010,TEMPWAT_L1,"[""CTDAV"", ""CTDBP"", ""CTDGV"", ""CTDMO"", ""CTDPF""]",L1,Temperature,Water Column,degrees C
not applicable,not applicable,not applicable,L2-SR-RQ-3044,Water Temperature,[DCN 1341-00010|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/009f4f2f-55ea-46af-b980-e8f612a5831d/1341-00010_Data_Product_SPEC_TEMPWAT_OOI.pdf],0,Temperature,not applicable,not applicable,not applicable,not applicable,not applicable,,[DCN 1342-00010|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/a2d4b90f-145f-44f6-bf03-6e720d87893c/1342-00010_Data_Processing_Flow_CTD_OOI.pdf],not applicable,not applicable,not applicable,not applicable,unitless,TEMPWAT,DCN 1342-00010,DCN 1341-00010,TEMPWAT_L0,"[""CTDAV"", ""CTDBP"", ""CTDGV"", ""CTDMO"", ""CTDPF""]",L0,Temperature,Water Column,unitless
not applicable,not applicable,not applicable,L2-SR-RQ-3101,Diffuse Vent Fluid 3-Dimensional Temperature Array,DCN 1341-00130,0,Temperature Array in Spatial Grid,not applicable,not applicable,not applicable,not applicable,not applicable,,DCN 1342-00130,not applicable,not applicable,not applicable,not applicable,TBD,TEMPSFL,DCN 1342-00130,DCN 1341-00130,TEMPSFL_L0,"[""TMPSF""]",L0,Temperature Array in Spatial Grid,Seafloor/Crust,TBD
not applicable,not applicable,not applicable,L2-SR-RQ-3101,Diffuse Vent Fluid 3-Dimensional Temperature Array,DCN 1341-00130,0,Temperature Array in Spatial Grid,not applicable,not applicable,not applicable,not applicable,not applicable,,DCN 1342-00130,not applicable,not applicable,not applicable,not applicable,TBD,TEMPSFL,DCN 1342-00130,DCN 1341-00130,TEMPSFL_L1,"[""TMPSF""]",L1,Temperature Array in Spatial Grid,Seafloor/Crust,C
not applicable,not applicable,not applicable,"L2-SR-RQ-3926, L2-SR-RQ-3928","Optical Absorption, Optical Attenuation","[DCN 1341-00690|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/28089882-716e-4fa8-b4b6-c703f5630882/1341-00690_Data_Product_SPEC_OPTATTN_OOI.pdf], [DCN 1341-00700|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/464dee40-a810-4fbc-bcd1-4874e787bbca/1341-00700_Data_Product_SPEC_OPTABSN_OOI.pdf]",0,Temperature from OPTAA,not applicable,not applicable,not applicable,not applicable,not applicable,,[DCN 1342-00690|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/131c6f4a-e3fb-4f70-99b2-4a13c69b66eb/1342-00690_Data_Processing_Flow_OPTAA_OOI.pdf],not applicable,not applicable,not applicable,not applicable,degrees C,OPTTEMP,DCN 1342-00690,"DCN 1341-00690, DCN 1341-00700",OPTTEMP_L0,"[""OPTAA""]",L0,Temperature from OPTAA,Water Column,degrees C
not applicable,not applicable,not applicable,L2-SR-RQ-3090,Vent Fluid chloride concentrations,[DCN 1341-00150|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/23624e5a-09c7-4aaf-b681-04584c9f9e48/1341-00150_Data_Product_Spec_TRHPHTE_OOI.pdf],0,Thermistor Temperature,not applicable,not applicable,not applicable,not applicable,not applicable,,[DCN 1342-00150|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/54181509-329e-4ded-8081-7524d30aff49/1342-00150_Data_Processing_Flow_TRHPH_OOI.pdf],not applicable,not applicable,not applicable,not applicable,V,TRHPHVS,DCN 1342-00150,DCN 1341-00150,TRHPHVS_L0,"[""TRHPH""]",L0,Thermistor Temperature,Seafloor/Crust,V
not applicable,not applicable,not applicable,L2-SR-RQ-3090,Vent Fluid chloride concentrations,[DCN 1341-00150|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/23624e5a-09c7-4aaf-b681-04584c9f9e48/1341-00150_Data_Product_Spec_TRHPHTE_OOI.pdf],0,Thermocouple Temperature,not applicable,not applicable,not applicable,not applicable,not applicable,,[DCN 1342-00150|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/54181509-329e-4ded-8081-7524d30aff49/1342-00150_Data_Processing_Flow_TRHPH_OOI.pdf],not applicable,not applicable,not applicable,not applicable,V,TRHPHVC,DCN 1342-00150,DCN 1341-00150,TRHPHVC_L0,"[""TRHPH""]",L0,Thermocouple Temperature,Seafloor/Crust,V
not applicable,not applicable,not applicable,L2-SR-RQ-3894,Turbulent Air Temperature,DCN 1341-00290,0,Turbulent Air Temperature,not applicable,not applicable,not applicable,not applicable,not applicable,,"DCN 1342-00280 (FDCHP), DCN 1342-00290 (FDCLP)",not applicable,not applicable,not applicable,not applicable,TBD,TMPATUR,"DCN 1342-00280 (FDCHP), DCN 1342-00290 (FDCLP)",DCN 1341-00290,TMPATUR_L0,"[""FDCHP"", ""FDCLP""]",L0,Turbulent Air Temperature,Air-Sea Interface,TBD
not applicable,not applicable,not applicable,L2-SR-RQ-3894,Turbulent Air Temperature,DCN 1341-00290,0,Turbulent Air Temperature,not applicable,not applicable,not applicable,not applicable,not applicable,,"DCN 1342-00280 (FDCHP), DCN 1342-00290 (FDCLP)",not applicable,not applicable,not applicable,not applicable,TBD,TMPATUR,"DCN 1342-00280 (FDCHP), DCN 1342-00290 (FDCLP)",DCN 1341-00290,TMPATUR_L1,"[""FDCHP"", ""FDCLP""]",L1,Turbulent Air Temperature,Air-Sea Interface,degree C
not applicable,not applicable,not applicable,L2-SR-RQ-3899,Turbulent Humidity Fluctuations,DCN 1341-00300,0,Turbulent Humidity Fluctuation,not applicable,not applicable,not applicable,not applicable,not applicable,,"DCN 1342-00280 (FDHCP), DCN 1342-00290 (FDCLP)",not applicable,not applicable,not applicable,not applicable,TBD,MOISTUR,"DCN 1342-00280 (FDHCP), DCN 1342-00290 (FDCLP)",DCN 1341-00300,MOISTUR_L0,"[""FDCHP"", ""FDCLP""]",L0,Turbulent Humidity Fluctuation,Air-Sea Interface,TBD
not applicable,not applicable,not applicable,L2-SR-RQ-3899,Turbulent Humidity Fluctuations,DCN 1341-00300,0,Turbulent Humidity Fluctuation,not applicable,not applicable,not applicable,not applicable,not applicable,,"DCN 1342-00280 (FDHCP), DCN 1342-00290 (FDCLP)",not applicable,not applicable,not applicable,not applicable,TBD,MOISTUR,"DCN 1342-00280 (FDHCP), DCN 1342-00290 (FDCLP)",DCN 1341-00300,MOISTUR_L1,"[""FDCHP"", ""FDCLP""]",L1,Turbulent Humidity Fluctuation,Air-Sea Interface,%
not applicable,not applicable,not applicable,L2-SR-RQ-3058,Turbulent Point Water Velocity,"[DCN 1341-00781|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/ff4b0896-321e-4811-9137-400a75b0b908/1341-00781_Data_Product_SPEC_VELPTTU_Nobska_OOI.pdf] (Nobska), [DCN 1341-00780|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/969c8edd-d2c7-493d-abbb-e59198941942/1341-00780_Data_Product_SPEC_VELPTTU_Nortek_OOI.pdf] (Nortek)",0,Turbulent Point Water Velocity,not applicable,not applicable,not applicable,not applicable,not applicable,,[DCN 1342-00780|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/75d9e7c6-40cd-40de-95f1-d5491b0bc42f/1342-00780_Data_Processing_Flow_VEL3D_OOI.pdf],not applicable,not applicable,not applicable,not applicable,"cm/s (Nobska), m/s (Nortek)",VELPTTU,DCN 1342-00780,"DCN 1341-00781 (Nobska), DCN 1341-00780 (Nortek)",VELPTTU_L1,"[""VEL3D""]",L1,Turbulent Point Water Velocity,"Water Column, Seafloor/Crust",m/s
not applicable,not applicable,not applicable,L2-SR-RQ-3058,Turbulent Point Water Velocity,"[DCN 1341-00781|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/ff4b0896-321e-4811-9137-400a75b0b908/1341-00781_Data_Product_SPEC_VELPTTU_Nobska_OOI.pdf] (Nobska), [DCN 1341-00780|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/969c8edd-d2c7-493d-abbb-e59198941942/1341-00780_Data_Product_SPEC_VELPTTU_Nortek_OOI.pdf] (Nortek)",0,Turbulent Point Water Velocity,not applicable,not applicable,not applicable,not applicable,not applicable,,[DCN 1342-00780|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/75d9e7c6-40cd-40de-95f1-d5491b0bc42f/1342-00780_Data_Processing_Flow_VEL3D_OOI.pdf],not applicable,not applicable,not applicable,not applicable,"cm/s (Nobska), m/s (Nortek)",VELPTTU,DCN 1342-00780,"DCN 1341-00781 (Nobska), DCN 1341-00780 (Nortek)",VELPTTU_L0,"[""VEL3D""]",L0,Turbulent Point Water Velocity,"Water Column, Seafloor/Crust","cm/s (Nobska), m/s (Nortek)"
TBD,TBD,TBD,L2-SR-RQ-3060,Turbulent Water Velocity Profile,DCN 1341-00760,1,Turbulent Velocity Profile,TBD,TBD,TBD,TBD,TBD,,DCN 1342-00760,TBD,TBD,TBD,TBD,m/s,VELTURB,DCN 1342-00760,DCN 1341-00760,VELTURB_L1,"[""VADCP""]",L1,Turbulent Velocity Profile,Water Column,m/s
not applicable,not applicable,not applicable,L2-SR-RQ-3757,Water Velocity Profile,[DCN 1341-00750|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/7ea90727-c1b4-4d73-b565-0ae4227da451/1341-00750_Data_Product_SPEC_VELPROF_ECHOINT_OOI.pdf],0,Velocity Profile,not applicable,not applicable,not applicable,not applicable,not applicable,,[DCN 1342-00750|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/c1fb71ed-ec32-4035-9d7b-d8228b57f7b0/1342-00750_Data_Processing_Flow_ADCP_OOI.pdf],not applicable,not applicable,not applicable,not applicable,mm/s,VELPROF,DCN 1342-00750,DCN 1341-00750,VELPROF_L0,"[""ADCPA"", ""ADCPS"", ""ADCPT""]",L0,Velocity Profile,Water Column,mm/s
not applicable,not applicable,not applicable,L2-SR-RQ-3757,Water Velocity Profile,[DCN 1341-00750|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/7ea90727-c1b4-4d73-b565-0ae4227da451/1341-00750_Data_Product_SPEC_VELPROF_ECHOINT_OOI.pdf],0,Velocity Profile,not applicable,not applicable,not applicable,not applicable,not applicable,,[DCN 1342-00750|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/c1fb71ed-ec32-4035-9d7b-d8228b57f7b0/1342-00750_Data_Processing_Flow_ADCP_OOI.pdf],not applicable,not applicable,not applicable,not applicable,mm/s,VELPROF,DCN 1342-00750,DCN 1341-00750,VELPROF_L1,"[""ADCPA"", ""ADCPS"", ""ADCPT""]",L1,Velocity Profile,Water Column,m/s
not applicable,not applicable,not applicable,L2-SR-RQ-3090,Vent Fluid chloride concentrations,[DCN 1341-00160|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/6879d629-e938-4546-8ed6-edd67583aa5f/1341-00160_Data_Product_Spec_TRHPHCC_OOI.pdf],2,Vent Fluid Chloride Concentration,applicable,applicable,applicable,not applicable,not applicable,,[DCN 1342-00150|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/54181509-329e-4ded-8081-7524d30aff49/1342-00150_Data_Processing_Flow_TRHPH_OOI.pdf],not applicable,applicable,applicable,applicable,??M,TRHPHCC,DCN 1342-00150,DCN 1341-00160,TRHPHCC_L2,"[""TRHPH""]",L2,Vent Fluid Chloride Concentration,Seafloor/Crust,??M
not applicable,not applicable,not applicable,L2-SR-RQ-3090,Vent Fluid chloride concentrations,[DCN 1341-00170|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/5c359aaa-9a4d-4f55-88d3-17a9c4e7082f/1341-00170_Data_Product_Spec_TRHPHEH_OOI.pdf],1,Vent Fluid Oxidation-Reduction Potential (ORP),not applicable,applicable,applicable,not applicable,not applicable,,[DCN 1342-00150|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/54181509-329e-4ded-8081-7524d30aff49/1342-00150_Data_Processing_Flow_TRHPH_OOI.pdf],not applicable,applicable,applicable,applicable,mV,TRHPHEH,DCN 1342-00150,DCN 1341-00170,TRHPHEH_L1,"[""TRHPH""]",L1,Vent Fluid Oxidation-Reduction Potential (ORP),Seafloor/Crust,mV
not applicable,not applicable,not applicable,L2-SR-RQ-3408,Interactive Sampling for Vent Fluid Chemistry,DCN 1341-00140,0,Vent Fluid Temperature from RASFL,not applicable,not applicable,not applicable,not applicable,not applicable,,DCN 1342-00140,not applicable,not applicable,not applicable,not applicable,TBD,TEMPVNT,DCN 1342-00140,DCN 1341-00140,TEMPVNT_L1,"[""RASFL""]",L1,Vent Fluid Temperature from RASFL,Seafloor/Crust,degrees C
not applicable,not applicable,not applicable,L2-SR-RQ-3408,Interactive Sampling for Vent Fluid Chemistry,DCN 1341-00140,0,Vent Fluid Temperature from RASFL,not applicable,not applicable,not applicable,not applicable,not applicable,,DCN 1342-00140,not applicable,not applicable,not applicable,not applicable,TBD,TEMPVNT,DCN 1342-00140,DCN 1341-00140,TEMPVNT_L0,"[""RASFL""]",L0,Vent Fluid Temperature from RASFL,Seafloor/Crust,TBD
not applicable,not applicable,not applicable,L2-SR-RQ-3092,Vent Fluid pH-temperature-H2 chemistry,DCN 1341-00120,0,Vent Fluid Temperature from THSPH,not applicable,not applicable,not applicable,not applicable,not applicable,,DCN 1342-00120,not applicable,not applicable,not applicable,not applicable,V,THSPHTE,DCN 1342-00120,DCN 1341-00120,THSPHTE_L1,"[""THSPH""]",L1,Vent Fluid Temperature from THSPH,Seafloor/Crust,degrees C
not applicable,not applicable,not applicable,L2-SR-RQ-3092,Vent Fluid pH-temperature-H2 chemistry,DCN 1341-00120,0,Vent Fluid Temperature from THSPH,not applicable,not applicable,not applicable,not applicable,not applicable,,DCN 1342-00120,not applicable,not applicable,not applicable,not applicable,V,THSPHTE,DCN 1342-00120,DCN 1341-00120,THSPHTE_L0,"[""THSPH""]",L0,Vent Fluid Temperature from THSPH,Seafloor/Crust,V
not applicable,not applicable,not applicable,L2-SR-RQ-3090,Vent Fluid chloride concentrations,[DCN 1341-00150|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/23624e5a-09c7-4aaf-b681-04584c9f9e48/1341-00150_Data_Product_Spec_TRHPHTE_OOI.pdf],1,Vent Fluid Temperature from TRHPH,not applicable,applicable,applicable,not applicable,not applicable,,[DCN 1342-00150|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/54181509-329e-4ded-8081-7524d30aff49/1342-00150_Data_Processing_Flow_TRHPH_OOI.pdf],not applicable,applicable,applicable,applicable,C,TRHPHTE,DCN 1342-00150,DCN 1341-00150,TRHPHTE_L1,"[""TRHPH""]",L1,Vent Fluid Temperature from TRHPH,Seafloor/Crust,C
