1-D Interpolation (INTERP1) QC,Combine QC Flags (CMBNFLG) QC,Conductivity Compressibility Compensation (CONDCMP) QC,DOORS L2 Science Requirement #(s),DOORS L2 Science Requirement Text,DPS DCN(s),Data_Product_Level,Data_Product_Name,Evaluate Polynomial (POLYVAL) QC,Global Range Test (GLBLRNG) QC,Gradient Test (GRADTST) QC,Local Range Test (LOCLRNG) QC,Modulus (MODULUS) QC,Notes,Processing Flow Diagram DCN(s),Solar Elevation (SOLAREL) QC,Spike Test (SPKETST) QC,Stuck Value Test (STUCKVL) QC,Trend Test (TRNDTST) QC,Units,code,diagrams,dps,id,instrument_class_list,level,name,regime,units
not applicable,not applicable,not applicable,L2-SR-RQ-3021,Downwelling longwave irradiance,DCN 1341-00360,0,Downwelling Longwave Irradiance,not applicable,not applicable,not applicable,not applicable,not applicable,,DCN 1342-00360,not applicable,not applicable,not applicable,not applicable,W/m2,LONGIRR,DCN 1342-00360,DCN 1341-00360,LONGIRR_L0,"[""METBK""]",L0,Downwelling Longwave Irradiance,"Air-Sea Interface, Surface Water",W/m2
not applicable,not applicable,not applicable,L2-SR-RQ-3021,Downwelling longwave irradiance,DCN 1341-00360,0,Downwelling Longwave Irradiance,not applicable,not applicable,not applicable,not applicable,not applicable,,DCN 1342-00360,not applicable,not applicable,not applicable,not applicable,W/m2,LONGIRR,DCN 1342-00360,DCN 1341-00360,LONGIRR_L1,"[""METBK""]",L1,Downwelling Longwave Irradiance,"Air-Sea Interface, Surface Water",W/m2
not applicable,not applicable,not applicable,L2-SR-RQ-3022,Downwelling shortwave irradiance,DCN 1341-00360,0,Downwelling Shortwave Irradiance ,not applicable,not applicable,not applicable,not applicable,not applicable,,DCN 1342-00360,not applicable,not applicable,not applicable,not applicable,W/m2,SHRTIRR,DCN 1342-00360,DCN 1341-00360,SHRTIRR_L1,"[""METBK""]",L1,Downwelling Shortwave Irradiance,"Air-Sea Interface, Surface Water",W/m2
not applicable,not applicable,not applicable,L2-SR-RQ-3022,Downwelling shortwave irradiance,DCN 1341-00360,0,Downwelling Shortwave Irradiance ,not applicable,not applicable,not applicable,not applicable,not applicable,,DCN 1342-00360,not applicable,not applicable,not applicable,not applicable,W/m2,SHRTIRR,DCN 1342-00360,DCN 1341-00360,SHRTIRR_L0,"[""METBK""]",L0,Downwelling Shortwave Irradiance,"Air-Sea Interface, Surface Water",W/m2
not applicable,not applicable,not applicable,L2-SR-RQ-3051,Downwelling spectral irradiance,DCN 1341-00730,0,Downwelling Spectral Irradiance ,not applicable,not applicable,not applicable,not applicable,not applicable,,DCN 1342-00730,not applicable,not applicable,not applicable,not applicable,TBD,SPECTIR,DCN 1342-00730,DCN 1341-00730,SPECTIR_L1,"[""SPKIR""]",L1,Downwelling Spectral Irradiance,Water Column,??W*cm^-2*nm^-1
not applicable,not applicable,not applicable,L2-SR-RQ-3051,Downwelling spectral irradiance,DCN 1341-00730,0,Downwelling Spectral Irradiance ,not applicable,not applicable,not applicable,not applicable,not applicable,,DCN 1342-00730,not applicable,not applicable,not applicable,not applicable,TBD,SPECTIR,DCN 1342-00730,DCN 1341-00730,SPECTIR_L0,"[""SPKIR""]",L0,Downwelling Spectral Irradiance,Water Column,TBD
not applicable,not applicable,not applicable,L2-SR-RQ-3887,Velocity profile measurements shall provide a measure of acoustic backscatter intensity for each depth bin.,"[DCN 1341-00750|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/7ea90727-c1b4-4d73-b565-0ae4227da451/1341-00750_Data_Product_SPEC_VELPROF_ECHOINT_OOI.pdf] (ADCPA, ADCPS, ADCPT), DCN 1341-00760 (VADCP)",0,Echo Intensity,not applicable,not applicable,not applicable,not applicable,not applicable,,"[DCN 1342-00750|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/c1fb71ed-ec32-4035-9d7b-d8228b57f7b0/1342-00750_Data_Processing_Flow_ADCP_OOI.pdf] (ADCPA, ADCPS, ADCPT), DCN 1342-00760 (VADCP)",not applicable,not applicable,not applicable,not applicable,dB,ECHOINT,"DCN 1342-00750 (ADCPA, ADCPS, ADCPT), DCN 1342-00760 (VADCP)","DCN 1341-00750 (ADCPA, ADCPS, ADCPT), DCN 1341-00760 (VADCP)",ECHOINT_L1,"[""ADCPA"", ""ADCPS"", ""ADCPT"", ""VADCP""]",L1,Echo Intensity,Water Column,dB
not applicable,not applicable,not applicable,L2-SR-RQ-3887,Velocity profile measurements shall provide a measure of acoustic backscatter intensity for each depth bin.,"[DCN 1341-00750|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/7ea90727-c1b4-4d73-b565-0ae4227da451/1341-00750_Data_Product_SPEC_VELPROF_ECHOINT_OOI.pdf] (ADCPA, ADCPS, ADCPT), DCN 1341-00760 (VADCP)",0,Echo Intensity,not applicable,not applicable,not applicable,not applicable,not applicable,,"[DCN 1342-00750|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/c1fb71ed-ec32-4035-9d7b-d8228b57f7b0/1342-00750_Data_Processing_Flow_ADCP_OOI.pdf] (ADCPA, ADCPS, ADCPT), DCN 1342-00760 (VADCP)",not applicable,not applicable,not applicable,not applicable,dB,ECHOINT,"DCN 1342-00750 (ADCPA, ADCPS, ADCPT), DCN 1342-00760 (VADCP)","DCN 1341-00750 (ADCPA, ADCPS, ADCPT), DCN 1341-00760 (VADCP)",ECHOINT_L0,"[""ADCPA"", ""ADCPS"", ""ADCPT"", ""VADCP""]",L0,Echo Intensity,Water Column,dB
not applicable,not applicable,not applicable,L2-SR-RQ-3187,Colored Dissolved Organic Matter (CDOM) fluorescence,[DCN 1341-00550|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/3a5d525b-59d8-4f1e-b901-20e43e6c8d26/1341-00550_Data_Product_SPEC_CDOMFLO_OOI.pdf],0,Fluorometric CDOM Concentration,not applicable,not applicable,not applicable,not applicable,not applicable,,[DCN 1342-00530|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/555778c3-b51d-4a68-b472-ad45101dd509/1342-00530_Data_Processing_Flow_FLORT_OOI.pdf],not applicable,not applicable,not applicable,not applicable,counts,CDOMFLO,DCN 1342-00530,DCN 1341-00550,CDOMFLO_L1,"[""FLORT""]",L1,Fluorometric CDOM Concentration,Water Column,ppm
not applicable,not applicable,not applicable,L2-SR-RQ-3187,Colored Dissolved Organic Matter (CDOM) fluorescence,[DCN 1341-00550|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/3a5d525b-59d8-4f1e-b901-20e43e6c8d26/1341-00550_Data_Product_SPEC_CDOMFLO_OOI.pdf],0,Fluorometric CDOM Concentration,not applicable,not applicable,not applicable,not applicable,not applicable,,[DCN 1342-00530|https://alfresco.oceanobservatories.org/alfresco/d/d/workspace/SpacesStore/555778c3-b51d-4a68-b472-ad45101dd509/1342-00530_Data_Processing_Flow_FLORT_OOI.pdf],not applicable,not applicable,not applicable,not applicable,counts,CDOMFLO,DCN 1342-00530,DCN 1341-00550,CDOMFLO_L0,"[""FLORT""]",L0,Fluorometric CDOM Concentration,Water Column,counts
